Algorithm,N,InputType,AvgTimeMicroseconds
bubble,1000,Unknown,29.0
bubble,10000,Unknown,398.6
bubble,100000,Unknown,5038.4
bubble,2500,Unknown,84.4
bubble,25000,Unknown,1105.8
bubble,5000,Unknown,183.8
bubble,50000,Unknown,2423.0
bubble,7500,Unknown,290.4
bubble,75000,Unknown,4055.8
bubble,1000,Random,1717.4
bubble,10000,Random,165962.2
bubble,100000,Random,24247706.2
bubble,2500,Random,10130.2
bubble,25000,Random,1125783.2
bubble,5000,Random,40913.4
bubble,50000,Random,5618201.8
bubble,7500,Random,91412.8
bubble,75000,Random,13374818.4
bubble,1000,Reversed,3088.8
bubble,10000,Reversed,304910.2
bubble,100000,Reversed,30216249.4
bubble,2500,Reversed,19093.8
bubble,25000,Reversed,1873011.4
bubble,5000,Reversed,74016.2
bubble,50000,Reversed,7566024.6
bubble,7500,Reversed,172417.0
bubble,75000,Reversed,17121538.2
bubble,1000,Sorted,0.2
bubble,10000,Sorted,6.6
bubble,100000,Sorted,70.2
bubble,2500,Sorted,1.2
bubble,25000,Sorted,16.8
bubble,5000,Sorted,3.4
bubble,50000,Sorted,38.0
bubble,7500,Sorted,5.2
bubble,75000,Sorted,52.0
insertion,1000,Unknown,27.0
insertion,10000,Unknown,368.8
insertion,100000,Unknown,4789.2
insertion,2500,Unknown,77.0
insertion,25000,Unknown,1043.4
insertion,5000,Unknown,167.0
insertion,50000,Unknown,2266.2
insertion,7500,Unknown,268.0
insertion,75000,Unknown,3478.4
insertion,1000,Random,1564.8
insertion,10000,Random,154070.8
insertion,100000,Random,15174343.2
insertion,2500,Random,9328.4
insertion,25000,Random,947040.6
insertion,5000,Random,38257.8
insertion,50000,Random,3789640.2
insertion,7500,Random,84289.2
insertion,75000,Random,8542930.2
insertion,1000,Reversed,3039.8
insertion,10000,Reversed,306731.6
insertion,100000,Reversed,30186663.8
insertion,2500,Reversed,18979.8
insertion,25000,Reversed,1920164.8
insertion,5000,Reversed,75191.2
insertion,50000,Reversed,7591679.0
insertion,7500,Reversed,172435.8
insertion,75000,Reversed,17150336.4
insertion,1000,Sorted,1.0
insertion,10000,Sorted,9.2
insertion,100000,Sorted,98.0
insertion,2500,Sorted,2.2
insertion,25000,Sorted,24.0
insertion,5000,Sorted,4.8
insertion,50000,Sorted,48.0
insertion,7500,Sorted,7.0
insertion,75000,Sorted,72.6
merge,1000,Unknown,63.6
merge,10000,Unknown,574.0
merge,100000,Unknown,6248.2
merge,2500,Unknown,146.0
merge,25000,Unknown,1506.4
merge,5000,Unknown,280.4
merge,50000,Unknown,3034.2
merge,7500,Unknown,423.8
merge,75000,Unknown,4591.4
merge,1000,Random,87.4
merge,10000,Random,937.8
merge,100000,Random,10530.0
merge,2500,Random,223.2
merge,25000,Random,2515.2
merge,5000,Random,446.6
merge,50000,Random,5114.0
merge,7500,Random,697.4
merge,75000,Random,8445.6
merge,1000,Reversed,51.2
merge,10000,Reversed,517.0
merge,100000,Reversed,6632.4
merge,2500,Reversed,143.0
merge,25000,Reversed,1343.6
merge,5000,Reversed,256.4
merge,50000,Reversed,2611.8
merge,7500,Reversed,381.8
merge,75000,Reversed,4066.4
merge,1000,Sorted,49.4
merge,10000,Sorted,525.8
merge,100000,Sorted,5965.0
merge,2500,Sorted,178.2
merge,25000,Sorted,1463.8
merge,5000,Sorted,257.0
merge,50000,Sorted,3004.0
merge,7500,Sorted,403.8
merge,75000,Sorted,4563.6
quickmedian,1000,Unknown,8.0
quickmedian,10000,Unknown,148.8
quickmedian,100000,Unknown,2356.0
quickmedian,2500,Unknown,29.6
quickmedian,25000,Unknown,471.0
quickmedian,5000,Unknown,64.2
quickmedian,50000,Unknown,1074.6
quickmedian,7500,Unknown,98.8
quickmedian,75000,Unknown,1690.2
quickmedian,1000,Random,36.8
quickmedian,10000,Random,482.8
quickmedian,100000,Random,5596.2
quickmedian,2500,Random,102.8
quickmedian,25000,Random,1302.6
quickmedian,5000,Random,229.8
quickmedian,50000,Random,2673.6
quickmedian,7500,Random,349.0
quickmedian,75000,Random,4220.6
quickmedian,1000,Reversed,17.2
quickmedian,10000,Reversed,194.2
quickmedian,100000,Reversed,2767.0
quickmedian,2500,Reversed,43.6
quickmedian,25000,Reversed,565.4
quickmedian,5000,Reversed,89.8
quickmedian,50000,Reversed,1229.8
