Algorithm,N,InputType,AvgTimeMicroseconds
quickfirst,1000,Balanced,7.4
quickfirst,10000,Balanced,106.4
quickfirst,100000,Balanced,2108.8
quickfirst,2500,Balanced,22.0
quickfirst,25000,Balanced,343.6
quickfirst,5000,Balanced,48.2
quickfirst,50000,Balanced,922.6
quickfirst,7500,Balanced,74.6
quickfirst,75000,Balanced,1459.0
quickfirst,1000,Random,32.0
quickfirst,10000,Random,413.4
quickfirst,100000,Random,4704.4
quickfirst,2500,Random,90.6
quickfirst,25000,Random,1073.4
quickfirst,5000,Random,223.4
quickfirst,50000,Random,2273.6
quickfirst,7500,Random,296.8
quickfirst,75000,Random,3567.8
quickfirst,1000,Reversed,249.6
quickfirst,10000,Reversed,21413.0
quickfirst,100000,Reversed,1188277.4
quickfirst,2500,Reversed,1505.8
quickfirst,25000,Reversed,114269.2
quickfirst,5000,Reversed,5763.8
quickfirst,50000,Reversed,377032.0
quickfirst,7500,Reversed,12906.2
quickfirst,75000,Reversed,735238.4
quickfirst,1000,Sorted,244.2
quickfirst,10000,Sorted,21269.2
quickfirst,100000,Sorted,748190.6
quickfirst,2500,Sorted,1466.0
quickfirst,25000,Sorted,106048.8
quickfirst,5000,Sorted,5615.2
quickfirst,50000,Sorted,309133.0
quickfirst,7500,Sorted,12182.0
quickfirst,75000,Sorted,528976.0
quickrandom,1000,Balanced,32.2
quickrandom,10000,Balanced,312.0
quickrandom,100000,Balanced,2921.0
quickrandom,2500,Balanced,79.4
quickrandom,25000,Balanced,753.6
quickrandom,5000,Balanced,172.2
quickrandom,50000,Balanced,1502.0
quickrandom,7500,Balanced,229.2
quickrandom,75000,Balanced,2194.0
quickrandom,1000,Random,42.8
quickrandom,10000,Random,503.8
quickrandom,100000,Random,5914.2
quickrandom,2500,Random,116.2
quickrandom,25000,Random,1353.0
quickrandom,5000,Random,247.8
quickrandom,50000,Random,2879.2
quickrandom,7500,Random,371.4
quickrandom,75000,Random,4378.8
quickrandom,1000,Reversed,30.0
quickrandom,10000,Reversed,298.8
quickrandom,100000,Reversed,3110.2
quickrandom,2500,Reversed,76.2
quickrandom,25000,Reversed,729.8
quickrandom,5000,Reversed,144.2
quickrandom,50000,Reversed,1500.2
quickrandom,7500,Reversed,211.4
quickrandom,75000,Reversed,2188.6
quickrandom,1000,Sorted,26.0
quickrandom,10000,Sorted,272.0
quickrandom,100000,Sorted,2679.2
quickrandom,2500,Sorted,65.4
quickrandom,25000,Sorted,669.2
quickrandom,5000,Sorted,133.2
quickrandom,50000,Sorted,1326.8
quickrandom,7500,Sorted,197.2
quickrandom,75000,Sorted,2007.8
quickmedian,1000,Balanced,8.0
quickmedian,10000,Balanced,148.8
quickmedian,100000,Balanced,2352.8
quickmedian,2500,Balanced,31.0
quickmedian,25000,Balanced,471.0
quickmedian,5000,Balanced,57.8
quickmedian,50000,Balanced,1062.2
quickmedian,7500,Balanced,100.2
quickmedian,75000,Balanced,1694.8
quickmedian,1000,Random,38.4
quickmedian,10000,Random,480.0
quickmedian,100000,Random,5663.0
quickmedian,2500,Random,103.0
quickmedian,25000,Random,1295.8
quickmedian,5000,Random,227.8
quickmedian,50000,Random,2668.4
quickmedian,7500,Random,349.4
quickmedian,75000,Random,4211.6
quickmedian,1000,Reversed,15.4
quickmedian,10000,Reversed,193.4
quickmedian,100000,Reversed,2765.8
quickmedian,2500,Reversed,41.8
quickmedian,25000,Reversed,560.8
quickmedian,5000,Reversed,91.8
quickmedian,50000,Reversed,1235.8
quickmedian,7500,Reversed,139.4
quickmedian,75000,Reversed,1924.0
quickmedian,1000,Sorted,8.4
quickmedian,10000,Sorted,105.0
quickmedian,100000,Sorted,1530.4
quickmedian,2500,Sorted,23.2
quickmedian,25000,Sorted,322.6
quickmedian,5000,Sorted,48.6
quickmedian,50000,Sorted,746.6
quickmedian,7500,Sorted,76.0
quickmedian,75000,Sorted,1393.4
